  run year index     sng      sdg      sdc       og       rt      pop     area    edges clusters    xmean    ymean      rad    slope  cl_size   diffus   spread    breed  slp_res  rd_grav   %urban    %road grw_rate leesalee  grw_pix 
    0 1978  1       1.50     0.00     0.00     5.75     3.50 32442.75 32442.75  1397.25    20.50   234.79   475.81   101.62     4.12  1611.25     0.66     0.66     0.66     5.23     0.58    10.59     0.00     0.03     0.81    10.75 
    0 1991  2       0.00     0.00     0.00     3.50     1.00 32546.50 32546.50  1456.75    52.75   234.91   475.78   101.78     4.12   625.25     0.17     0.17     0.17    19.01     0.26    10.61     0.00     0.01     0.24     4.50 
    0 2013  3       0.25     0.00     0.00     4.00     1.00 32691.00 32691.00  1529.00    86.50   234.93   475.74   102.01     4.12   381.75     0.02     0.02     0.02    42.40     0.04    10.81     0.00     0.02     0.22     5.25 
    1 1978  1       6.00     0.50     0.00    11.75     0.00 32530.75 32530.75  1459.00    59.00   234.95   475.71   101.76     4.12   552.50     1.97     1.97     1.97     7.24     2.58    10.61     0.00     0.06     0.81    18.25 
    1 1991  2       1.25     0.00     0.00     4.75     3.00 32698.50 32698.50  1558.75   120.75   235.21   475.60   102.02     4.12   270.75     0.50     0.50     0.50    21.06     1.19    10.65     0.00     0.03     0.24     9.00 
    1 2013  3       0.25     0.00     0.00     5.25     1.00 32865.50 32865.50  1640.50   157.50   235.25   475.49   102.28     4.11   208.75     0.05     0.05     0.05    44.54     1.00    10.86     0.00     0.02     0.22     6.50 
    2 1978  1      12.00     1.00     0.00    16.75     5.50 32640.75 32640.75  1525.50   101.25   235.18   475.58   101.93     4.12   324.75     3.94     3.94     3.94    10.24     5.58    10.64     0.00     0.11     0.81    35.25 
    2 1991  2       2.75     0.00     0.00    12.50     1.25 32972.25 32972.25  1717.50   218.50   235.61   475.32   102.45     4.12   151.00     1.00     1.00     1.00    24.13     4.19    10.72     0.00     0.05     0.24    16.50 
    2 2013  3       0.50     0.00     0.00     5.25     0.50 33140.75 33140.75  1811.25   261.75   235.77   475.21   102.71     4.12   126.75     0.10     0.10     0.10    47.76     1.82    10.93     0.00     0.02     0.22     6.25 
    3 1978  1      16.75     1.00     0.00    34.00     9.50 32785.00 32785.00  1608.25   152.00   235.33   475.58   102.16     4.12   216.75     5.90     5.90     5.90    13.25     8.57    10.67     0.00     0.19     0.80    61.25 
    3 1991  2       4.50     0.00     0.00    14.25     2.75 33259.00 33259.00  1894.00   316.75   235.99   475.01   102.89     4.12   105.50     1.50     1.50     1.50    27.21     7.18    10.79     0.00     0.06     0.24    21.50 
    3 2013  3       0.25     0.00     0.00     6.25     1.50 33464.75 33464.75  2004.25   366.25   236.19   474.93   103.21     4.12    91.25     0.15     0.15     0.15    51.02     4.80    11.01     0.00     0.02     0.23     8.00 
    4 1978  1      24.50     3.00     0.00    42.50    10.25 32905.75 32905.75  1701.00   208.75   235.67   475.30   102.34     4.12   157.25     7.87     7.87     7.87    16.26    11.57    10.70     0.00     0.24     0.80    80.25 
    4 1991  2       4.00     0.50     0.00    19.00     2.00 33528.75 33528.75  2068.00   402.50   236.54   474.76   103.31     4.12    83.00     2.00     2.00     2.00    30.29    10.17    10.86     0.00     0.08     0.24    25.50 
    4 2013  3       1.25     0.00     0.00     4.75     0.50 33794.00 33794.00  2209.00   468.50   236.80   474.58   103.72     4.11    71.75     0.20     0.20     0.20    54.26     7.77    11.09     0.00     0.02     0.23     6.50 
    5 1978  1      25.50     5.50     0.00    57.00    17.75 33037.00 33037.00  1784.25   250.50   235.98   475.15   102.55     4.12   132.00     9.84     9.84     9.84    19.27    14.57    10.74     0.00     0.32     0.80   105.75 
    5 1991  2       7.25     1.00     0.00    20.00     6.25 33801.00 33801.00  2246.50   486.25   237.12   474.43   103.73     4.12    69.00     2.50     2.50     2.50    33.36    13.16    10.93     0.00     0.10     0.25    34.50 
    5 2013  3       0.25     0.00     0.00     4.00     0.75 34108.75 34108.75  2417.25   558.50   237.39   474.11   104.20     4.12    60.50     0.25     0.25     0.25    57.50    10.75    11.17     0.00     0.01     0.23     5.00 
